#Species,BioProject,Taxid,locus_tag,accession,chromosome,begin,end,strand,type,name,description
BDBR229,PRJNA53877,741978,BDB_30215,NEW,BDBR229_FR854076,146491,146706,0,fragment,ripV1_fragment1,"Type III effector protein RipV1 (frameshift, N-terminal fragment)"
BDBR229,PRJNA53877,741978,BDB_120003,BDB_120003,BDBR229_FR854068,1536,2993,0,fragment,ripH3_fragment2,"Type III effector protein HLK3 (frameshift, C-terminal fragment)"
Molk2,PRJNA180980,564065,RSMK_06231,CAQ37625.1,CAHW01000038,1005432,1006220,0,fragment,ripE3_fragment2,"Type III effector protein RipE3 (frameshift, C-terminal fragment)"
Po82,PRJNA162133,1031711,RSPO_m01692,NEW,CP002820,1370141,1370326,0,pseudogene,ripAQ_fragment,Type III effector remnant RipAQ (pseudogene)
R24,PRJNA53879,907261,RALSY_mp10506,CCA87974.1,R24_FR854090,542601,546521,0,protein,ripAN,Type III effector protein RipAN
Molk2,PRJNA180980,564065,RSMK_03498,CAQ37184.1,CAHW01000037,1055787,1057451,0,protein,ripAT,Type III effector protein RipAT
Psi07,PRJNA50543,859657,RPSI07_2742,CBJ52107.2,FP885906,2865789,2866532,0,protein,ripAA,Type III effector RipAA [formerly AvrA]
CFBP2957,PRJNA50545,859656,RCFBP_10063,CBJ41380.1,FP885897,59122,66201,0,protein,ripS1,Type III effector protein SKWP1
Psi07,PRJNA50543,859657,RPSI07_3166,CBJ52518.1,FP885906,3295156,3296619,0,protein,ripB,Type III effector RipB protein
Psi07,PRJNA50543,859657,RPSI07_1893,CBJ51256.1,FP885906,1963590,1965359,0,protein,ripM,Type III effector protein RipM
CFBP2957,PRJNA50545,859656,RCFBP_mp20290,CBJ53716.1,FP885907,1016706,1020578,0,protein,ripA3,Type III effector protein AWR3
RS1000,,305,BAD42400.1,BAD42400.1,AB178015,139,1374,0,protein,ripAY,Type III effector protein (Rip55)
Psi07,PRJNA50543,859657,RPSI07_1850,CBJ51214.2,FP885906,1878939,1888253,0,protein,ripS8,Type III effector protein SKWP8
CFBP2957,PRJNA50545,859656,RCFBP_11870,CBJ43157.1,FP885897,1910139,1911908,0,protein,ripM,Type III effector protein RipM
Psi07,PRJNA50543,859657,RPSI07_3089,CBJ52442.1,FP885906,3217376,3219307,0,protein,ripAE,Type III effector protein RipAE
RS1000,,305,BAD42382.1,BAD42382.1,AB177894,125,1603,0,protein,ripAO,Type III effector protein (Rip50)
CMR15,PRJEA50681,859655,CMR15_20596,CBJ38639.1,FP885895,2553248,2555518,0,protein,ripH1,Type III effector HLK1
R24,PRJNA53879,907261,RALSY_mp30818,RALSY_mp30818,R24_FR854092,815688,816050,0,pseudogene,ripH2_fragment2,"Type III effector protein HLK2 (fragment, central part)"
GMI1000,PRJNA57593,267608,RSc3212,CAD17000.1,AL646052,3473174,3474139,0,protein,ripT,Type III effector protein RipT (Peptidase C58)
R24,PRJNA53879,907261,RALSY_mp30817,RALSY_mp30817,R24_FR854092,815242,815691,0,pseudogene,ripH2_fragment1,"Type III effector protein HLK2 (fragment, N-terminal part)"
Po82,PRJNA162133,1031711,RSPO_m01312,AEG71947.1,CP002820,1541623,1546092,0,protein,ripZ,Type III effector protein RipZ
CMR15,PRJEA50681,859655,CMR15_mp10127,CBJ39781.1,FP885896,133353,135485,0,protein,ripH3,Type III effector protein HLK3
Psi07,PRJNA50543,859657,RPSI07_mp0790,CBJ35137.1,FP885891,966392,970312,0,protein,ripAN,Type III effector protein RipAN
UW551,PRJNA54307,342110,RRSL_00532,WP_003265687.1,AAKL01000069,5171,6553,0,protein,ripG4,Type III effector protein GALA4
RS1000,,305,BAH47298.1,BAH47298.1,AB302270,278,1555,0,protein,ripE1,Type III effector protein (Rip26)
RS1000,,305,BAH47286.1,BAH47286.1,AB302227,390,3593,0,protein,ripA1,Type III effector protein AWR1
CMR15,PRJEA50681,859655,CMR15_mp20114,CBJ40689.1,FP885896,1222612,1227105,0,protein,ripZ,Type III effector protein RipZ
CFBP2957,PRJNA50545,859656,RCFBP_mp30040,CBJ54128.1,FP885907,1614608,1617010,0,protein,ripAP,"Type III effector protein RipAP, ankyrin repeat-containing protein"
Psi07,PRJNA50543,859657,RPSI07_mp1267,CBJ35596.1,FP885891,1547756,1557118,0,protein,ripS7,Type III effector protein SKWP7
BDBR229,PRJNA53877,741978,BDB_180117,CCA82076.1,BDBR229_FR854074,122271,123437,0,protein,ripAY,Type III effector protein RipAY
RS1000,,305,BAH47283.1,BAH47283.1,AB302225,199,3582,0,protein,ripA2,type III effector protein AWR2 (Rip29)
R24,PRJNA53879,907261,RALSY_mp10094,CCA87579.1,R24_FR854090,109712,111628,0,protein,ripD,Type III effector protein RipD
Psi07,PRJNA50543,859657,RPSI07_mp1659,CBJ35978.1,FP885891,1935947,1938151,0,protein,ripF1,Type III secretion translocon protein RipF1
Psi07,PRJNA50543,859657,RPSI07_mp0822,CBJ35168.1,FP885891,1001531,1004500,0,protein,ripAC,Type III effector protein RipAC [formerly PopC]
Molk2,PRJNA180980,564065,RSMK_03290,CAQ37064.1,CAHW01000037,906848,909250,0,protein,ripAP,Type III effector protein RipAP
GMI1000,PRJNA57593,267608,RSp0304,CAD17455.1,AL646053,398086,400017,0,protein,ripD,Type III effector protein RipD
R24,PRJNA53879,907261,RALSY_mp30819,CCA87480.1,R24_FR854092,816076,816294,0,pseudogene,ripH2_fragment3,"Type III effector protein HLK2 (fragment, C-terminal part)"
BDBR229,PRJNA53877,741978,BDB_mp80113,CCA83919.1,BDBR229_FR854084,127016,129559,0,protein,ripAC,Type III effector protein RipAC [formerly PopC]
Po82,PRJNA162133,1031711,RSPO_c01871,AEG69170.1,CP002819,1950057,1950845,0,fragment,ripM_fragment3,"Type III effector protein RipM (frameshift, C-terminal fragment)"
IPO1609,PRJNA32087,564066,RSIPO_03951,YP_002257643.1,CU914166,1073814,1075910,0,protein,ripAQ,Type III effector protein RipAQ
UW551,PRJNA54307,342110,RRSL_00546,WP_003265703.1,AAKL01000069,19779,23417,0,protein,ripA5_2,Type III effector protein AWR5_2
IPO1609,PRJNA32087,564066,RSIPO_04893,YP_002260127.1,NW_002196569,2089611,2090525,0,protein,ripAJ,Type III effector protein RipAJ
Po82,PRJNA162133,1031711,RSPO_c01999,AEG69297.1,CP002819,2088826,2090703,0,protein,ripG6,Type III effector protein GALA6
BDBR229,PRJNA53877,741978,BDB_mp10048,CCA82443.1,BDBR229_FR854077,43352,44272,0,protein,ripAJ,Type III effector protein RipAJ
Psi07,PRJNA50543,859657,RPSI07_1895,CBJ51258.1,FP885906,1966488,1968575,0,protein,ripV2,"Type III effector RipV2, SspH1 family"
Po82,PRJNA162133,1031711,RSPO_c02493,AEG69787.1,CP002819,2614352,2615818,0,protein,ripP2,Type III effector protein RipP2 [formerly PopP2]
GMI1000,PRJNA57593,267608,RSc2139,CAD15846.1,AL646052,2319476,2322667,0,protein,ripA1,"Type III effector protein, AWR family, AWR1"
UW551,PRJNA54307,342110,RRSL_02441,WP_003263732.1,AAKL01000026,37675,40347,0,protein,ripAC,Type III effector protein RipAC (formerly PopC)
Po82,PRJNA162133,1031711,RSPO_c02006,AEG69304.1,CP002819,2096285,2098318,0,protein,ripV1,Type III effector protein RipV1
Po82,PRJNA162133,1031711,RSPO_c02546,AEG69840.1,CP002819,2662013,2667742,0,fragment,ripS5_fragment2,"Type III effector protein SKWP5 (frameshift, C-terminal fragment)"
CMR15,PRJEA50681,859655,CMR15_mp10070,CBJ39728.1,FP885896,67664,71056,0,protein,ripA2,Type III effector protein AWR2
Molk2,PRJNA180980,564065,RSMK_02986,CAQ36792.1,CAHW01000037,515932,518019,0,protein,ripAQ,Type III effector protein RipAQ
CFBP2957,PRJNA50545,859656,RCFBP_mp10032,CBJ52829.1,FP885907,32394,34097,0,protein,ripG3,Type III effector protein GALA3
Molk2,PRJNA180980,564065,RSMK_02377,CAQ17809.1,CAHW01000004,337485,344573,0,protein,ripS1,Type III effector protein SKWP1
R24,PRJNA53879,907261,RALSY_mp10538,CCA88004.1,R24_FR854090,577696,580248,0,protein,ripAC,Type III effector protein RipAC [formerly PopC]
BDBR229,PRJNA53877,741978,BDB_180212,NEW,BDBR229_FR854074,117180,117800,0,fragment,ripA5_fragment1,"Type III effector AWR5 (frameshift, N-terminal fragment)"
UW551,PRJNA54307,342110,RRSL_00782,WP_003265371.1,AAKL01000058,22225,24606,0,protein,ripBH,Type III effector protein RipBH
IPO1609,PRJNA32087,564066,RSIPO_03202,YP_002256903.1,CU914166,115882,117585,0,protein,ripG3,Type III effector protein GALA3
Po82,PRJNA162133,1031711,RSPO_m01289,AEG71924.1,CP002820,1499891,1502737,0,fragment,ripA5_1_fragment2,"Type III effector protein AWR5_1 (frameshift, N-terminal fragment)"
GMI1000,PRJNA57593,267608,RSp1215,CAD18366.1,AL646053,1545662,1547461,0,pseudogene,ripAP_fragment2,Type 3 effector protein RipAP - pseudogene (C-terminal fragment)
Molk2,PRJNA180980,564065,RSMK_02408,CAQ17836.1,CAHW01000004,373100,374389,0,protein,ripE1,Type III effector protein RipE1
IPO1609,PRJNA32087,564066,RSIPO_02138,YP_002260347.2,NW_002196569,2336796,2340866,0,pseudogene,ripS5_fragment1,"Type III effector protein SKWP5 (truncated, N-terminal fragment), probable pseudogene"
Psi07,PRJNA50543,859657,RPSI07_0175,CBJ49553.1,FP885906,189013,189480,0,protein,ripAM,Type III effector protein RipAM
UW551,PRJNA54307,342110,RRSL_01021,WP_003265029.1,AAKL01000049,13017,13562,0,protein,ripAI,Type III effector protein RipAI
CMR15,PRJEA50681,859655,CMR15_11276,CBJ37479.1,FP885895,1334775,1335692,0,protein,ripAJ,Type III effector protein RipAJ
RS1000,,305,BAI67921.1,BAI67921.1,AB516336,722,2071,0,protein,ripAL,type III effector protein (Rip38)
GMI1000,PRJNA57593,267608,RSc1815,CAD15517.1,AL646052,1981107,1984844,0,protein,ripTAL,"Type III effector protein, TAL family"
R24,PRJNA53879,907261,RALSY_mp30773,CCA87437.1,R24_FR854092,748253,750466,0,protein,ripH3,Type III effector protein HLK3
Molk2,PRJNA180980,564065,RSMK_01531,CAQ36189.1,CAHW01000036,489224,496726,0,fragment,ripS4,"Type III effector protein SKWP4 (truncated, frameshift)"
IPO1609,PRJNA32087,564066,RSIPO_04184,YP_002257877.1,CU914166,1412415,1413836,0,protein,ripN,Type III effector protein RipN
BDBR229,PRJNA53877,741978,CCA79677.2,NEW,BDBR229_FR854064,532550,532654,0,fragment,ripAA_fragment1,"Type III effector RipAA (frameshift, N-terminal fragment) [formerly AvrA]"
Psi07,PRJNA50543,859657,RPSI07_mp1569,CBJ35887.1,FP885891,1849659,1852880,0,protein,ripTAL,Type III effector RipTAL
CMR15,PRJEA50681,859655,CMR15_mp10182,CBJ39836.1,FP885896,206280,208529,0,protein,ripH2,Type III effector protein HLK2
CFBP2957,PRJNA50545,859656,RCFBP_mp30170,CBJ54257.1,FP885907,1762272,1764008,0,protein,ripBC,"Type III effector protein RipBC, with Ankyrin repeats"
BDBR229,PRJNA53877,741978,BDB_mp60098,CCA82933.1,BDBR229_FR854082,98075,99676,0,protein,ripG5,Type III effector protein GALA5
IPO1609,PRJNA32087,564066,RSIPO_03993,YP_002257683.1,CU914166,1120070,1123291,0,fragment,ripS3_fragment1,"Type III effector protein SKWP3 (frameshift, N-terminal fragment)"
GMI1000,PRJNA57593,267608,RSp0900,CAD18051.1,AL646053,1136189,1138399,0,protein,ripF1_2,Type III secretion translocon protein RipF1_2 (formerly POPF2)
Po82,PRJNA162133,1031711,RSPO_m01166,AEG71802.1,CP002820,1318923,1322660,0,fragment,ripA4_fragment2,"Type III effector protein AWR4 (frameshift, C-terminal fragment)"
R24,PRJNA53879,907261,RALSY_20184,CCA85578.1,R24_FR854087,187190,188065,0,protein,ripBD,Type III effector protein RipBD
RS1000,,305,BAH47299.1,BAH47299.1,AB302271,475,1539,0,protein,ripAF1,type III effector protein (Rip40)
UW551,PRJNA54307,342110,RRSL_00326,WP_003265988.1,AAKL01000084,998,2806,0,protein,ripBI,Type III effector protein RipBI
BDBR229,PRJNA53877,741978,BDB_mp80115,CCA83921.1,BDBR229_FR854084,129685,130212,0,protein,ripAB,Type III effector RipAB [formerly PopB]
CFBP2957,PRJNA50545,859656,RCFBP_mp10070,CBJ52863.1,FP885907,65997,69380,0,protein,ripA2,Type III effector protein AWR2
UW551,PRJNA54307,342110,RRSL_04764,WP_003261350.1,AAKL01000001,208519,210303,0,protein,ripF2,Type III secretion translocon Protein RipF2
RS1000,,305,BAD42408.1,BAD42408.1,AB178023,483,8195,0,protein,ripS4,Type III effector protein SKWP4 (Rip20)
Molk2,PRJNA180980,564065,RSMK_02864,CAQ36749.1,CAHW01000037,468917,469240,0,fragment,ripA3_fragment1,"Type III effector protein AWR3 (frameshift, N-terminal fragment)"
Po82,PRJNA162133,1031711,RSPO_m01229,AEG71865.1,CP002820,1417883,1424788,0,protein,ripS3,Type III effector protein SKWP3
CFBP2957,PRJNA50545,859656,RCFBP_21404,CBJ44577.1,FP885897,3369502,3370794,0,protein,ripI,Type III effector protein RipI
CFBP2957,PRJNA50545,859656,RCFBP_mp20430,CBJ53856.1,FP885907,1237836,1244735,0,protein,ripS3,Type III effector protein SKWP3
IPO1609,PRJNA32087,564066,RSIPO_04067,YP_002257765.1,CU914166,1249536,1253993,0,protein,ripZ,Type III effector protein RipZ
R24,PRJNA53879,907261,RALSY_mp10706,CCA88165.1,R24_FR854090,776400,777590,0,protein,ripAY,Type III effector protein RipAY
Psi07,PRJNA50543,859657,RPSI07_mp1715,CBJ36034.1,FP885891,2005146,2007527,0,protein,ripBH,"Type III effector RipBH, OspD family"
BDBR229,PRJNA53877,741978,BDB_160130,CCA81892.1,BDBR229_FR854072,137540,138766,0,pseudogene,ripN,"Type III effector RipN (truncated due to IS insertion, probable pseudogene)"
IPO1609,PRJNA32087,564066,RSIPO_03355,YP_002257057.1,CU914166,303299,305680,0,protein,ripBH,Type III effector protein RipBH
UW551,PRJNA54307,342110,RRSL_01260,WP_003264986.1,AAKL01000048,17653,18567,0,protein,ripAJ,Type III effector protein RipAJ
UW551,PRJNA54307,342110,RRSL_04655,WP_003261207.1,AAKL01000001,83592,85988,0,protein,ripAP,Type III effector protein RipAP
Psi07,PRJNA50543,859657,RPSI07_mp0901,CBJ35242.1,FP885891,1094388,1097396,0,protein,ripG2,leucine-rich-repeat type III effector protein (GALA2)
Po82,PRJNA162133,1031711,RSPO_m01283,AEG71918.1,CP002820,1495214,1496425,0,protein,ripAY,Type III effector protein RipAY
CMR15,PRJEA50681,859655,CMR15_30019,CBJ38771.1,FP885895,2697964,2699436,0,protein,ripP2,Type III effector protein RipP2 [formerly PopP2]
Molk2,PRJNA180980,564065,RSMK_05150,CAQ18288.1,CAHW01000006,408054,410255,0,fragment,ripBH,"Type III effector protein RipBH (frameshift, C-terminal fragment)"
CFBP2957,PRJNA50545,859656,RCFBP_mp20163,CBJ53590.1,FP885907,865089,866414,0,protein,ripAL,"Type III effector protein RipAL, lipase domain"
BDBR229,PRJNA53877,741978,BDB_80239,CCA79854.1,BDBR229_FR854064,233651,241753,0,protein,ripS7,Type III effector protein SKWP7
R24,PRJNA53879,907261,RALSY_20364,CCA85754.1,R24_FR854087,346832,348106,0,protein,ripE1,Type III effector RipE1
Molk2,PRJNA180980,564065,RSMK_03055,CAQ36861.1,CAHW01000037,625806,627017,0,protein,ripAY,Type III effector protein RipAY
Po82,PRJNA162133,1031711,RSPO_c03161,AEG70452.1,CP002819,3278069,3279586,0,protein,ripB,Type III effector protein RipB
GMI1000,PRJNA57593,267608,RSc0041,CAD13569.1,AL646052,44050,45342,0,protein,ripI,Type III effector protein RipI
GMI1000,PRJNA57593,267608,RSp0731,CAD17882.1,AL646053,917339,919012,0,protein,ripTPS,"Type effector protein RipTPS, trehalose-6-phosphate synthase"
RS1000,,305,BAI67927.1,BAI67927.1,AB516341,832,1710,0,protein,ripU,type III effector protein (Rip59)
Po82,PRJNA162133,1031711,RSPO_c00070,AEG67374.1,CP002819,85728,87017,0,protein,ripE1,Type III effector protein RipE1
GMI1000,PRJNA57593,267608,RSp0572,CAD17723.1,AL646053,712252,712908,0,protein,ripAX2,Type III effector protein RipAX2
RS1000,,305,BAI67918.1,BAI67918.1,AB516333,1657,3789,0,protein,ripH3,Type III effector protein HLK3 (Rip30)
IPO1609,PRJNA32087,564066,RSIPO_04317,YP_002258009.1,CU914166,1607454,1609715,0,protein,ripH2,Type III effector protein HLK2
BDBR229,PRJNA53877,741978,BDB_mp70197,CCA83743.1,BDBR229_FR854083,196862,200245,0,protein,ripA2,Type III effector protein AWR2
CFBP2957,PRJNA50545,859656,RCFBP_mp10201,CBJ52991.1,FP885907,221453,223699,0,protein,ripH2,Type III effector protein HLK2
R24,PRJNA53879,907261,RALSY_mp10542,CCA88008.1,R24_FR854090,584951,586351,0,protein,ripAO,Type III effector protein RipAO
RS1000,,305,BAH47280.1,BAH47280.1,AB302224,451,1443,0,protein,ripX,Type III effector protein RipX [formerly PopA] (Rip49)
GMI1000,PRJNA57593,267608,RSp1277,CAD18428.1,AL646053,1616197,1617753,0,protein,ripQ,Type III effector protein RipQ
Po82,PRJNA162133,1031711,RSPO_m01557,AEG72192.1,CP002820,1808329,1810092,0,protein,ripF2,Type III secretion translocon protein RipF2
GMI1000,PRJNA57593,267608,RSp1031,CAD18182.2,AL646053,1304432,1308538,0,protein,ripZ,Type III effector protein RipZ
Molk2,PRJNA180980,564065,RSMK_00329,CAQ37626.1,CAHW01000038,287093,287818,0,fragment,ripBI_fragment2,"Type III effector protein RipBI (frameshift, C-terminal fragment)"
Po82,PRJNA162133,1031711,RSPO_m01691,NEW,CP002820,1196677,1197153,0,fragment,ripTPS_fragment1,"Type III effector RipTPS, trehalose-6-phosphate synthase (frameshift, N-terminal fragment)"
UW551,PRJNA54307,342110,RRSL_03375,WP_003262779.1,AAKL01000014,16078,21264,0,protein,ripR,Type III effector Protein RipR
Psi07,PRJNA50543,859657,RPSI07_3157,CBJ52509.1,FP885906,3281204,3284062,0,protein,ripY,"Type III effector RipY, with ankyrin repeats"
R24,PRJNA53879,907261,RALSY_40895,CCA86664.1,R24_FR854089,867841,869916,0,protein,ripV2,Type III effector protein RipV2
CFBP2957,PRJNA50545,859656,RCFBP_11850,CBJ43137.1,FP885897,1888722,1890962,0,protein,ripH1,Type III effector HLK1
BDBR229,PRJNA53877,741978,BDB_mp80034,CCA83843.1,BDBR229_FR854084,44739,46661,0,protein,ripD,Type III effector protein RipD
CMR15,PRJEA50681,859655,CMR15_mp20011,CBJ40587.1,FP885896,1092190,1099065,0,protein,ripS3,Type III effector protein SKWP3
Molk2,PRJNA180980,564065,RSMK_00744,CAQ35635.1,CAHW01000035,430507,431448,0,fragment,ripV2_fragment1,"Type III effector protein RipV2 (frameshift, N-terminal fragment)"
Molk2,PRJNA180980,564065,RSMK_03167,CAQ36886.1,CAHW01000037,671814,676268,0,protein,ripZ,Type III effector protein RipZ
CFBP2957,PRJNA50545,859656,RCFBP_11288,CBJ42585.1,FP885897,1320543,1321466,0,protein,ripAJ,Type III effector protein RipAJ
Psi07,PRJNA50543,859657,RPSI07_0072,CBJ49452.1,FP885906,81496,82770,0,protein,ripE1_1,Type III effector RipE1_1
Molk2,PRJNA180980,564065,RSMK_06211,CAQ36482.1,CAHW01000037,47611,48111,0,fragment,ripAX1_fragment1,"Type III effector protein RipAX1 (frameshift, N-terminal fragment)"
BDBR229,PRJNA53877,741978,BDB_100065,CCA80386.1,BDBR229_FR854066,66093,67556,0,protein,ripB,Type III effector protein RipB
GMI1000,PRJNA57593,267608,RSp1212,CAD18363.2,AL646053,1542501,1543391,0,protein,ripU,Type III effector protein RipU
CFBP2957,PRJNA50545,859656,RCFBP_21453,NEW,CFBP2957_chr,2561103,2561420,0,pseudogene,ripS5_fragment2,"Type III effector protein SKWP5 (C-terminal fragment, IS insertion: probable pseudogene)"
R24,PRJNA53879,907261,RALSY_mp30489,CCA87169.1,R24_FR854092,475597,477795,0,protein,ripF1,T3SS translocon protein RipF1 [formerly PopF1]
CMR15,PRJEA50681,859655,CMR15_mp20106,CBJ40681.1,FP885896,1212157,1214964,0,fragment,ripA5_fragment2,"Type III effector family protein AWR5 (frameshift, C-terminal fragment)"
GMI1000,PRJNA57593,267608,RSp0593,CAD17744.1,AL646053,727298,727723,0,pseudogene,ripC2_fragment1,"Type III effector protein RipC2 (pseudogene, N-terminal fragment)"
IPO1609,PRJNA32087,564066,RSIPO_03083,YP_002261259.1,NW_002196569,3353939,3355228,0,protein,ripE1,Type III effector protein RipE1
Psi07,PRJNA50543,859657,RPSI07_mp1097,CBJ35428.1,FP885891,1333173,1338332,0,protein,ripR,Type III effector protein RipR
RS1000,,305,BAD42406.1,BAD42406.1,AB178021,310,2802,0,protein,ripAV,Type III effector protein (Rip39)
IPO1609,PRJNA32087,564066,RSIPO_02991,YP_002261170.1,NW_002196569,3257042,3257707,0,protein,ripAX1,Type III effector protein RipAX1
CMR15,PRJEA50681,859655,CMR15_mp10525,CMR15_mp10525,FP885896,599272,600012,0,fragment,ripE2_fragment2,"Type III effector RipE2 (frameshift, C-terminal fragment)"
GMI1000,PRJNA57593,267608,RSp0838,CAD17989.2,AL646053,1058924,1059436,0,protein,ripAI,Type III effector protein RipAI
IPO1609,PRJNA32087,564066,RSIPO_03944,YP_002257637.1,CU914166,1063101,1064786,0,protein,ripAO,Type III effector protein RipAO
Molk2,PRJNA180980,564065,RSMK_05582,CAQ18687.1,CAHW01000009,12294,15860,0,fragment,ripTAL1_1,"truncated Type III effector protein, TAL family"
GMI1000,PRJNA57593,267608,RSp0847,CAD17998.1,AL646053,1075414,1079406,0,protein,ripA4,"Type III effector protein, AWR family, AWR4"
GMI1000,PRJNA57593,267608,RSc1349,CAD15051.2,AL646052,1435728,1437785,0,protein,ripV1,Type III effector protein RipV1 (SspH1 family)
RS1000,,305,BAI67920.1,BAI67920.1,AB516335,300,2528,0,protein,ripH2,type III effector protein HLK2 (Rip32)
CFBP2957,PRJNA50545,859656,RCFBP_mp10151,CBJ52942.1,FP885907,152637,154760,0,protein,ripH3,Type III effector protein HLK3
Molk2,PRJNA180980,564065,RSMK_04494,CAQ56931.1,CAHW01000040,676136,677485,0,protein,ripJ,Type III effector protein RipJ
Psi07,PRJNA50543,859657,RPSI07_mp0160,CBJ34518.1,FP885891,186192,188438,0,protein,ripH2_1,Type III effector protein HLK2_1
IPO1609,PRJNA32087,564066,RSIPO_02968,YP_002261147.1,NW_002196569,3233049,3233528,0,protein,ripAM,Type III effector protein RipAM
RS1000,,305,BAH47284.1,BAH47284.1,AB302226,199,3915,0,protein,ripA3,type III effector protein AWR3 (Rip44)
Psi07,PRJNA50543,859657,RPSI07_2524,CBJ51890.2,FP885906,2647828,2654862,0,protein,ripS5,Type III effector protein SKWP5
Molk2,PRJNA180980,564065,RSMK_00792,CAQ35674.1,CAHW01000035,481381,482763,0,protein,ripG4,Type III effector protein GALA4
Psi07,PRJNA50543,859657,RPSI07_mp0625,CBJ34969.1,FP885891,773399,775075,0,protein,ripTPS,"Type III effector RipTPS, trehalose-6-phosphate synthase"
IPO1609,PRJNA32087,564066,RSIPO_01470,YP_002259692.1,NW_002196569,1608846,1610879,0,protein,ripV1,Type III effector protein RipV1
Po82,PRJNA162133,1031711,RSPO_c01875,AEG69174.1,CP002819,1952802,1953737,0,fragment,ripV2_fragment1,"Type III effector protein RipV2 (frameshift, N-terminal fragment)"
Molk2,PRJNA180980,564065,RSMK_03198,CAQ37005.1,CAHW01000037,835225,836646,0,protein,ripN,Type III effector protein RipN
GMI1000,PRJNA57593,267608,RSc0245,CAD13773.2,AL646052,269437,270909,0,protein,ripB,Type III effector protein RipB
CFBP2957,PRJNA50545,859656,RCFBP_10686,CBJ41989.1,FP885897,717026,718180,0,protein,ripW,"Type III effector RipW [formerly PopW], Harpin with pectate lyase domain"
Psi07,PRJNA50543,859657,RPSI07_mp1030,CBJ35363.1,FP885891,1242877,1247100,0,protein,ripZ,Type III effector protein RipZ
BDBR229,PRJNA53877,741978,BDB_20075,NEW,BDBR229_FR854059,61979,62209,0,fragment,ripV2_fragment2,"Type III effector protein RipV2 (frameshift, C-terminal fragment)"
UW551,PRJNA54307,342110,RRSL_00271,WP_003265952.1,AAKL01000081,635,1996,0,fragment,ripZ,truncated Type III effector protein RipZ
UW551,PRJNA54307,342110,RRSL_02810,WP_003263317.1,AAKL01000020,27471,27950,0,protein,ripAM,Type III effector protein RipAM
GMI1000,PRJNA57593,267608,RSc1475,CAD15177.1,AL646052,1578345,1580099,0,protein,ripM,Type III effector protein RipM
Molk2,PRJNA180980,564065,RSMK_01843,CAQ17300.1,CAHW01000003,21024,22178,0,protein,ripW,"Type III effector RipW [formerly PopW], Harpin with pectate lyase domain"
IPO1609,PRJNA32087,564066,RSIPO_03403,YP_002257106.1,CU914166,370708,372921,0,protein,ripF1,Type III secretion translocon protein ripF1
Psi07,PRJNA50543,859657,RPSI07_mp0106,CBJ34467.1,FP885891,119795,121939,0,protein,ripH3,Type III effector protein HLK3
Molk2,PRJNA180980,564065,RSMK_05326,CAQ18451.1,CAHW01000006,601263,604646,0,protein,ripA2,Type III effector protein AWR2
GMI1000,PRJNA57593,267608,RSc0608,CAD14138.1,AL646052,655891,656583,0,protein,ripAA,type III effector protein RipAA (formerly AvrA)
UW551,PRJNA54307,342110,RRSL_00926,WP_003265253.1,AAKL01000055,7129,8658,0,protein,ripO1,Type III effector Protein RipO1
BDBR229,PRJNA53877,741978,BDB_mp10111,BDB_mp10111,BDBR229_FR854077,99098,99643,0,pseudogene,ripAS,"Type III effector protein RipAS (truncated, probable pseudogene)"
CMR15,PRJEA50681,859655,CMR15_30690,CBJ39437.1,FP885895,3348460,3351246,0,protein,ripY,"Type III effector protein RipY, ankyrin repeats"
BDBR229,PRJNA53877,741978,BDB_80615,CCA80221.1,BDBR229_FR854064,632658,634682,0,fragment,ripH2_1_fragment2,"Type III effector protein HLK2_1 (frameshift, C-terminal fragment)"
GMI1000,PRJNA57593,267608,RSp0099,CAD17250.1,AL646053,106270,109653,0,protein,ripA2,"Type III effector protein, AWR family, AWR2"
R24,PRJNA53879,907261,RALSY_30994,RALSY_30994,R24_FR854088,949434,950567,0,pseudogene,ripC2_fragment1,"Type III effector protein RipC2 (IS insertion:probable pseudogene, N-terminal fragment)"
RS1000,,305,BAD42407.1,BAD42407.1,AB178022,333,2762,0,protein,ripAK,Type III effector protein (Rip23)
Molk2,PRJNA180980,564065,RSMK_03294,CAQ37060.1,CAHW01000037,902300,903184,0,protein,ripU,Type III effector protein RipU
GMI1000,PRJNA57593,267608,RSp0323,CAD17474.2,AL646053,422680,424218,0,protein,ripO1,Type III effector protein RipO1
Po82,PRJNA162133,1031711,RSPO_m01053,AEG71690.1,CP002820,1186584,1187909,0,protein,ripAL,Type III effector protein RipAL
Psi07,PRJNA50543,859657,RPSI07_3337,CBJ52685.1,FP885906,3472375,3473667,0,protein,ripI,Type III effector protein RipI
CMR15,PRJEA50681,859655,CMR15_mp10856,CBJ40503.1,FP885896,997476,1000130,0,protein,ripAC,Type III effector protein RipAC [formerly PopC]
RS1000,,305,BAD42393.1,BAD42393.1,AB178009,2400,4343,0,protein,ripG7,Type III effector protein GALA7 (Rip14)
BDBR229,PRJNA53877,741978,BDB_mp10283,NEW,BDBR229_FR854077,101588,101764,0,fragment,ripAT_fragment1,"Type III effector protein RipAT (frameshift, N-terminal fragment)"
UW551,PRJNA54307,342110,RRSL_02040,WP_003264732.1,AAKL01000041,46677,47660,0,pseudogene,ripI_fragment2,"truncated Type III effector RipI (C-terminal fragment), probable pseudogene"
